time,acceleration,a
0,0.0063,0.063
0.02,0.00364,0.0364
0.04,0.00099,0.0099
0.06,0.00428,0.0428
0.08,0.00758,0.0758
0.1,0.01087,0.1087
0.12,0.00682,0.0682
0.14,0.00277,0.0277
0.16,-0.00128,-0.0128
0.18,0.00368,0.0368
0.2,0.00864,0.0864
0.22,0.0136,0.136
0.24,0.00727,0.0727
0.26,0.00094,0.0094
0.28,0.0042,0.042
0.3,0.00221,0.0221
0.32,0.00021,0.0021
0.34,0.00444,0.0444
0.36,0.00867,0.0867
0.38,0.0129,0.129
0.4,0.01713,0.1713
0.42,-0.00343,-0.0343
0.44,-0.024,-0.24
0.46,-0.00992,-0.0992
0.48,0.00416,0.0416
0.5,0.00528,0.0528
0.52,0.01653,0.1653
0.54,0.02779,0.2779
0.56,0.03904,0.3904
0.58,0.02449,0.2449
0.6,0.00995,0.0995
0.62,0.00961,0.0961
0.64,0.00926,0.0926
0.66,0.00892,0.0892
0.68,-0.00486,-0.0486
0.7,-0.01864,-0.1864
0.72,-0.03242,-0.3242
0.74,-0.03365,-0.3365
0.76,-0.05723,-0.5723
0.78,-0.04534,-0.4534
0.8,-0.03346,-0.3346
0.82,-0.03201,-0.3201
0.84,-0.03056,-0.3056
0.86,-0.02911,-0.2911
0.88,-0.02766,-0.2766
0.9,-0.04116,-0.4116
0.92,-0.05466,-0.5466
0.94,-0.06816,-0.6816
0.96,-0.08166,-0.8166
0.98,-0.06846,-0.6846
1,-0.05527,-0.5527
1.02,-0.04208,-0.4208
1.04,-0.04259,-0.4259
1.06,-0.04311,-0.4311
1.08,-0.02428,-0.2428
1.1,-0.00545,-0.0545
1.12,0.01338,0.1338
1.14,0.03221,0.3221
1.16,0.05104,0.5104
1.18,0.06987,0.6987
1.2,0.0887,0.887
1.22,0.04524,0.4524
1.24,0.00179,0.0179
1.26,-0.04167,-0.4167
1.28,-0.08513,-0.8513
1.3,-0.12858,-1.2858
1.32,-0.17204,-1.7204
1.34,-0.12908,-1.2908
1.36,-0.08613,-0.8613
1.38,-0.08902,-0.8902
1.4,-0.09192,-0.9192
1.42,-0.09482,-0.9482
1.44,-0.09324,-0.9324
1.46,-0.09166,-0.9166
1.48,-0.09478,-0.9478
1.5,-0.09789,-0.9789
1.52,-0.12902,-1.2902
1.54,-0.07652,-0.7652
1.56,-0.02401,-0.2401
1.58,0.02849,0.2849
1.6,0.08099,0.8099
1.62,0.1335,1.335
1.64,0.186,1.86
1.66,0.2385,2.385
1.68,0.21993,2.1993
1.7,0.20135,2.0135
1.72,0.18277,1.8277
1.74,0.1642,1.642
1.76,0.14562,1.4562
1.78,0.16143,1.6143
1.8,0.17725,1.7725
1.82,0.13215,1.3215
1.84,0.08705,0.8705
1.86,0.04196,0.4196
1.88,-0.00314,-0.0314
1.9,-0.04824,-0.4824
1.92,-0.09334,-0.9334
1.94,-0.13843,-1.3843
1.96,-0.18353,-1.8353
1.98,-0.22863,-2.2863
2,-0.27372,-2.7372
2.02,-0.31882,-3.1882
2.04,-0.25024,-2.5024
2.06,-0.18166,-1.8166
2.08,-0.11309,-1.1309
2.1,-0.04451,-0.4451
2.12,0.02407,0.2407
2.14,0.09265,0.9265
2.16,0.16123,1.6123
2.18,0.22981,2.2981
2.2,0.29839,2.9839
2.22,0.23197,2.3197
2.24,0.16554,1.6554
2.26,0.09912,0.9912
2.28,0.0327,0.327
2.3,-0.03372,-0.3372
2.32,-0.10014,-1.0014
2.34,-0.16656,-1.6656
2.36,-0.23299,-2.3299
2.38,-0.29941,-2.9941
2.4,-0.00421,-0.0421
2.42,0.29099,2.9099
2.44,0.2238,2.238
2.46,0.15662,1.5662
2.48,0.08943,0.8943
2.5,0.02224,0.2224
2.52,-0.04495,-0.4495
2.54,0.01834,0.1834
2.56,0.08163,0.8163
2.58,0.14491,1.4491
2.6,0.2082,2.082
2.62,0.18973,1.8973
2.64,0.17125,1.7125
2.66,0.13759,1.3759
2.68,0.10393,1.0393
2.7,0.07027,0.7027
2.72,0.03661,0.3661
