t,a
0,0.00897
0.02,0.02334
0.04,0.02476
0.06,0.00827
0.08,-0.00324
0.1,-0.01868
0.12,-0.01473
0.14,0.00157
0.16,0.0038
0.18,0.00276
0.2,-0.01445
0.22,-0.02409
0.24,-0.01557
0.26,-0.00708
0.28,0.00366
0.3,-0.01842
0.32,-0.04163
0.34,-0.02422
0.36,-0.00173
0.38,0.0019
0.4,0.00647
0.42,-0.00038
0.44,-0.01676
0.46,-0.0228
0.48,-0.01682
0.5,0.00219
0.52,0.02012
0.54,0.02352
0.56,0.00882
0.58,0.00159
0.6,0.00748
0.62,-0.01856
0.64,-0.04277
0.66,-0.00193
0.68,0.00576
0.7,0.00308
0.72,0.00132
0.74,0.01214
0.76,0.02548
0.78,-0.02257
0.8,-0.02143
0.82,0.02805
0.84,0.02123
0.86,-0.00083
0.88,0.01057
0.9,0.03138
0.92,0.01442
0.94,-0.02408
0.96,-0.0138
0.98,0.02325
1,0.01985
1.02,0.00503
1.04,0.0301
1.06,0.01074
1.08,-0.02413
1.1,-0.00622
1.12,0.00066
1.14,0.00381
1.16,0.02348
1.18,-0.00404
1.2,0.00724
1.22,0.01708
1.24,-0.024
1.26,-0.01198
1.28,-0.00116
1.3,0.00093
1.32,-0.00152
1.34,0.03668
1.36,0.06024
1.38,0.00239
1.4,0.02255
1.42,0.03313
1.44,-0.03069
1.46,-0.03482
1.48,-0.01966
1.5,0.02515
1.52,0.02616
1.54,-0.00081
1.56,0.04702
1.58,0.04243
1.6,-0.00298
1.62,0.01025
1.64,0.01448
1.66,0.00134
1.68,-0.00357
1.7,0.01587
1.72,0.0124
1.74,-0.00108
1.76,-0.00947
1.78,-0.029
1.8,-0.02676
1.82,-0.03724
1.84,0.07206
1.86,0.12845
1.88,0.01403
1.9,-0.04772
1.92,-0.01477
1.94,0.0297
1.96,-0.0103
1.98,-0.03992
2,0.06086
2.02,0.0424
2.04,-0.0915
2.06,-0.0547
2.08,0.08072
2.1,0.02025
2.12,-0.06115
2.14,0.0491
2.16,0.10908
2.18,0.03101
2.2,-0.03274
2.22,0.06535
2.24,0.06867
2.26,-0.01654
2.28,-0.01893
2.3,-0.00302
2.32,0.01315
2.34,-0.01595
2.36,-0.02388
2.38,0.04019
2.4,0.0289
2.42,-0.05067
2.44,-0.06048
2.46,-0.01999
2.48,0.0523
2.5,0.04436
2.52,-0.03004
2.54,-0.10057
2.56,-0.09888
2.58,-0.05201
2.6,0.02357
2.62,-0.02121
2.64,-0.04464
2.66,0.04851
2.68,0.02193
2.7,-0.04209
2.72,-0.03485
2.74,0.04939
2.76,-0.00367
2.78,-0.03881
2.8,-0.00598
2.82,0.01435
2.84,-0.06289
2.86,-0.16769
2.88,-0.06689
2.9,0.01954
2.92,-0.04456
2.94,-0.05562
2.96,0.02163
2.98,0.04897
3,0.04937
3.02,0.09305
3.04,0.0164
3.06,-0.10805
3.08,-0.0807
3.1,0.0216
3.12,0.11415
3.14,0.12452
3.16,0.05993
3.18,-0.06534
3.2,-0.07126
3.22,0.01072
3.24,0.11339
3.26,0.10399
3.28,-0.03049
3.3,-0.11931
3.32,-0.05029
3.34,0.05538
3.36,-0.00154
3.38,-0.09846
3.4,-0.10605
3.42,-0.05933
3.44,0.01043
3.46,0.15511
3.48,0.04104
3.5,-0.14424
3.52,-0.1027
3.54,0.03298
3.56,0.10314
3.58,-0.00412
3.6,-0.04216
3.62,-0.00967
3.64,0.01725
3.66,0.03653
3.68,0.01751
3.7,0.05269
3.72,-0.07119
3.74,-0.12647
3.76,-0.0258
3.78,0.02163
3.8,-0.01022
3.82,-0.03527
3.84,0.07038
3.86,0.01847
3.88,-0.03761
3.9,-0.04211
3.92,0.03207
3.94,0.1097
3.96,0.09124
3.98,0.13155
4,0.06458
4.02,-0.05935
4.04,-0.11524
4.06,-0.06364
4.08,0.10388
4.1,0.07868
4.12,0.01594
4.14,0.02714
4.16,-0.02655
