t,sg,y,v
0.000000, 0.000000, 0.000000 , 0.000000,0.000000 
0.010000, -6.954854, -0.000130 , -0.017387,-3.477427 
0.020000, -13.859291, -0.000695 , -0.069549,-6.954854 
0.030000, -20.663211, -0.002042 , -0.156358,-10.407072 
0.040000, -27.317153, -0.004516 , -0.277690,-13.859291 
0.050000, -33.772606, -0.008460 , -0.433293,-17.261251 
0.060000, -39.982319, -0.014215 , -0.622915,-20.663211 
0.070000, -45.900595, -0.022118 , -0.846182,-23.990182 
0.080000, -51.483586, -0.032504 , -1.102719,-27.317153 
0.090000, -56.689569, -0.045701 , -1.392029,-30.544880 
0.100000, -61.479211, -0.062033 , -1.713616,-33.772606 
0.110000, -65.815817, -0.081819 , -2.066867,-36.877463 
0.120000, -69.665563, -0.105370 , -2.451165,-39.982319 
0.130000, -72.997712, -0.132991 , -2.865784,-42.941457 
0.140000, -75.784806, -0.164980 , -3.309995,-45.900595 
0.150000, -78.002843, -0.201628 , -3.782958,-48.692090 
0.160000, -79.631426, -0.243214 , -4.283836,-51.483586 
0.170000, -80.653897, -0.290011 , -4.811687,-54.086577 
0.180000, -81.057435, -0.342282 , -5.365568,-56.689569 
0.190000, -80.833146, -0.400279 , -5.944438,-59.084390 
0.200000, -79.976114, -0.464245 , -6.547256,-61.479211 
0.210000, -78.485431, -0.534410 , -7.172889,-63.647514 
0.220000, -76.364209, -0.610993 , -7.820206,-65.815817 
0.230000, -73.619553, -0.694204 , -8.487989,-67.740690 
0.240000, -70.262521, -0.784236 , -9.175020,-69.665563 
0.250000, -66.308052, -0.881274 , -9.880006,-71.331637 
0.260000, -61.774871, -0.985486 , -10.601653,-72.997712 
0.270000, -56.685372, -1.097030 , -11.338597,-74.391259 
0.280000, -51.065473, -1.216048 , -12.089478,-75.784806 
0.290000, -44.944457, -1.342668 , -12.852871,-76.893824 
0.300000, -38.354780, -1.477005 , -13.627354,-78.002843 
0.310000, -31.331869, -1.619159 , -14.411454,-78.817134 
0.320000, -23.913899, -1.769216 , -15.203697,-79.631426 
0.330000, -16.141545, -1.927244 , -16.002567,-80.142661 
0.340000, -8.057731, -2.093300 , -16.806550,-80.653897 
0.350000, 0.292645, -2.267422 , -17.614098,-80.855666 
0.360000, 8.862997, -2.449635 , -18.423663,-81.057435 
0.370000, 17.605343, -2.639946 , -19.233677,-80.945291 
0.380000, 26.470613, -2.838350 , -20.042569,-80.833146 
0.390000, 35.408957, -3.044822 , -20.848758,-80.404630 
0.400000, 44.370060, -3.259324 , -21.650662,-79.976114 
0.410000, 53.303466, -3.481801 , -22.446696,-79.230773 
0.420000, 62.158893, -3.712182 , -23.235277,-78.485431 
0.430000, 70.886552, -3.950381 , -24.014829,-77.424820 
0.440000, 79.437466, -4.196297 , -24.783774,-76.364209 
0.450000, 87.763777, -4.449810 , -25.540554,-74.991881 
0.460000, 95.819050, -4.710789 , -26.283611,-73.619553 
0.470000, 103.558570, -4.979084 , -27.011414,-71.941037 
0.480000, 110.939620, -5.254530 , -27.722432,-70.262521 
0.490000, 117.921759, -5.536950 , -28.415171,-68.285286 
0.500000, 124.467070, -5.826149 , -29.088138,-66.308052 
0.510000, 130.540408, -6.121919 , -29.739885,-64.041461 
0.520000, 136.109618, -6.424036 , -30.368967,-61.774871 
0.530000, 141.145740, -6.732263 , -30.973992,-59.230121 
0.540000, 145.623193, -7.046350 , -31.553569,-56.685372 
0.550000, 149.519937, -7.366031 , -32.106373,-53.875422 
0.560000, 152.817613, -7.691030 , -32.631078,-51.065473 
0.570000, 155.501657, -8.021056 , -33.126430,-48.004965 
0.580000, 157.561397, -8.355806 , -33.591177,-44.944457 
0.590000, 158.990115, -8.694965 , -34.024148,-41.649619 
0.600000, 159.785094, -9.038207 , -34.424170,-38.354780 
0.610000, 159.947634, -9.385194 , -34.790160,-34.843325 
0.620000, 159.483043, -9.735577 , -35.121036,-31.331869 
0.630000, 158.400603, -10.088998 , -35.415810,-27.622884 
0.640000, 156.713512, -10.445089 , -35.673494,-23.913899 
0.650000, 154.438802, -10.803471 , -35.893202,-20.027722 
0.660000, 151.597228, -11.163760 , -36.074048,-16.141545 
0.670000, 148.213137, -11.525559 , -36.215254,-12.099638 
0.680000, 144.314317, -11.888468 , -36.316041,-8.057731 
0.690000, 139.931815, -12.252076 , -36.375742,-3.882543 
0.700000, 135.099747, -12.615968 , -36.393692,0.292645 
